,open,high,low,close,adjclose,volume,ticker,adjclose_15,true_adjclose_15,buy_profit,sell_profit
2020-01-02,30.510000228881836,30.700000762939453,30.309999465942383,30.700000762939453,30.697731018066406,37774500.0,PETR4.SA,23.601656,22.149999618530273,0.0,7.096075057983398
2020-01-03,30.8799991607666,31.239999771118164,30.450000762939453,30.450000762939453,30.4477481842041,71595600.0,PETR4.SA,27.624033,27.608461380004883,0.0,2.8237152099609375
2020-01-10,30.389999389648438,30.440000534057617,30.1299991607666,30.270000457763672,30.26776123046875,25397500.0,PETR4.SA,26.258217,27.4626407623291,0.0,4.009544372558594
2020-01-17,29.719999313354492,29.850000381469727,29.540000915527344,29.850000381469727,29.84779167175293,34908000.0,PETR4.SA,18.130459,18.19964027404785,0.0,11.71733283996582
2020-01-27,28.6299991607666,28.639999389648438,27.670000076293945,28.030000686645508,28.02792739868164,66105300.0,PETR4.SA,27.549692,26.908527374267578,0.0,0.47823524475097656
2020-01-28,28.43000030517578,29.139999389648438,28.420000076293945,28.799999237060547,28.797868728637695,47259100.0,PETR4.SA,24.610022,24.899999618530273,0.0,4.187847137451172
2020-01-30,28.280000686645508,29.040000915527344,28.18000030517578,28.940000534057617,28.9378604888916,44266800.0,PETR4.SA,25.965118,25.72871780395508,0.0,2.9727420806884766
2020-01-31,28.6299991607666,28.84000015258789,28.309999465942383,28.450000762939453,28.44789695739746,55446700.0,PETR4.SA,26.966206,25.547548294067383,0.0,1.4816913604736328
2020-02-10,28.889999389648438,29.1299991607666,28.639999389648438,29.1299991607666,29.127843856811523,45328100.0,PETR4.SA,28.235273,29.25295639038086,-0.8925704956054688,0.0
2020-02-11,29.399999618530273,29.6299991607666,29.260000228881836,29.479999542236328,29.47781753540039,37518200.0,PETR4.SA,26.179134,25.469778060913086,0.0,3.2986831665039062
2020-02-14,29.860000610351562,29.959999084472656,29.34000015258789,29.420000076293945,29.417823791503906,30399900.0,PETR4.SA,16.848587,16.949201583862305,0.0,12.569236755371094
2020-02-20,30.799999237060547,30.889999389648438,29.75,29.920000076293945,29.917787551879883,73522900.0,PETR4.SA,25.18864,26.65999984741211,0.0,4.729146957397461
2020-03-02,25.5,26.75,25.479999542236328,26.530000686645508,26.528038024902344,71596400.0,PETR4.SA,23.157576,20.83958625793457,0.0,3.370462417602539
2020-03-04,26.90999984741211,26.940000534057617,26.239999771118164,26.889999389648438,26.888010025024414,42320500.0,PETR4.SA,26.905607,26.710729598999023,0.0,-0.017597198486328125
2020-03-12,13.65999984741211,13.859999656677246,11.079999923706055,12.600000381469727,12.599068641662598,151535900.0,PETR4.SA,25.023031,26.940000534057617,12.423962593078613,0.0
2020-03-13,15.100000381469727,15.399999618530273,12.699999809265137,15.399999618530273,15.398859977722168,174972600.0,PETR4.SA,27.57599,25.92565155029297,12.177130699157715,0.0
2020-03-18,11.789999961853027,12.270000457763672,10.869999885559082,11.289999961853027,11.289164543151855,162515200.0,PETR4.SA,27.991598,28.22046661376953,16.702433586120605,0.0
2020-03-20,13.109999656677246,13.5,11.829999923706055,12.0,11.999112129211426,149029900.0,PETR4.SA,24.835781,27.280000686645508,12.836668968200684,0.0
2020-03-30,13.149999618530273,13.739999771118164,12.829999923706055,13.380000114440918,13.379011154174805,110947200.0,PETR4.SA,27.038586,27.041608810424805,13.659574508666992,0.0
2020-03-31,13.600000381469727,14.539999961853027,13.600000381469727,13.989999771118164,13.98896598815918,156116500.0,PETR4.SA,26.139091,27.491806030273438,12.150125503540039,0.0
2020-04-03,16.299999237060547,16.360000610351562,14.930000305175781,15.34000015258789,15.338866233825684,142898700.0,PETR4.SA,24.27339,25.600000381469727,8.934523582458496,0.0
2020-04-06,16.049999237060547,16.100000381469727,15.180000305175781,15.770000457763672,15.768834114074707,123934200.0,PETR4.SA,26.44572,26.73788070678711,10.676886558532715,0.0
2020-04-22,15.850000381469727,16.75,15.779999732971191,16.75,16.748760223388672,114967100.0,PETR4.SA,11.8630085,11.499150276184082,0.0,4.885751724243164
2020-04-30,17.979999542236328,18.420000076293945,17.700000762939453,18.049999237060547,18.049640655517578,80263900.0,PETR4.SA,16.282545,17.558700561523438,0.0,1.7670955657958984
2020-06-03,21.860000610351562,21.90999984741211,21.40999984741211,21.469999313354492,21.469573974609375,86219700.0,PETR4.SA,28.457674,29.13784408569336,6.988100051879883,0.0
2020-06-04,21.389999389648438,21.780000686645508,21.040000915527344,21.43000030517578,21.429574966430664,107401400.0,PETR4.SA,29.373705,29.29783248901367,7.944129943847656,0.0
2020-06-17,21.479999542236328,21.850000381469727,21.149999618530273,21.440000534057617,21.4395751953125,63268700.0,PETR4.SA,23.47162,22.670000076293945,2.032045364379883,0.0
2020-06-30,21.34000015258789,21.799999237060547,21.09000015258789,21.549999237060547,21.549571990966797,65010600.0,PETR4.SA,27.88294,28.385034561157227,6.333368301391602,0.0
2020-07-16,23.15999984741211,23.280000686645508,22.520000457763672,22.719999313354492,22.71954917907715,69698700.0,PETR4.SA,23.9868,23.02000045776367,1.2672500610351562,0.0
2020-07-24,22.540000915527344,23.059999465942383,22.420000076293945,22.729999542236328,22.729999542236328,43380300.0,PETR4.SA,12.213045,13.089032173156738,0.0,10.51695442199707
2020-07-28,23.040000915527344,23.31999969482422,22.799999237060547,22.799999237060547,22.799999237060547,48353000.0,PETR4.SA,26.044783,25.119810104370117,3.244783401489258,0.0
2020-08-06,23.280000686645508,23.530000686645508,23.010000228881836,23.219999313354492,23.219999313354492,56375100.0,PETR4.SA,17.132307,16.928749084472656,0.0,6.0876922607421875
2020-08-07,22.860000610351562,22.90999984741211,22.549999237060547,22.790000915527344,22.790000915527344,56040200.0,PETR4.SA,15.152429,15.5088529586792,0.0,7.637572288513184
2020-08-12,23.360000610351562,23.68000030517578,23.079999923706055,23.479999542236328,23.479999542236328,67008500.0,PETR4.SA,23.580036,25.288129806518555,0.10003662109375,0.0
2020-08-14,22.770000457763672,22.979999542236328,22.530000686645508,22.670000076293945,22.670000076293945,38422000.0,PETR4.SA,29.199612,30.4477481842041,6.529611587524414,0.0
2020-08-20,22.520000457763672,22.8700008392334,22.350000381469727,22.729999542236328,22.729999542236328,55251700.0,PETR4.SA,26.919918,24.886499404907227,4.189918518066406,0.0
2020-09-08,22.5,22.5,21.90999984741211,22.260000228881836,22.260000228881836,74490200.0,PETR4.SA,26.993877,27.364931106567386,4.733877182006836,0.0
2020-09-09,22.489999771118164,22.770000457763672,22.489999771118164,22.729999542236328,22.729999542236328,42143500.0,PETR4.SA,26.374048,26.669296264648438,3.6440486907958984,0.0
2020-09-15,21.979999542236328,22.079999923706055,21.549999237060547,21.670000076293945,21.670000076293945,58546700.0,PETR4.SA,27.58065,26.879365921020508,5.910650253295898,0.0
2020-09-18,21.989999771118164,22.149999618530273,21.549999237060547,21.649999618530273,21.649999618530273,64243500.0,PETR4.SA,20.544523,19.610000610351566,0.0,1.1054763793945312
